Provinsi,SD_2019,SD_2020,SD_2021,SMP_2019,SMP_2020,SMP_2021,SMA_2019,SMA_2020,SMA_2021
ACEH                ,98.6,98.3,99.4,89.5,90.9,93.4,70,70.1,74.4
BALI                ,98.3,96.7,97,93.3,93.2,94.3,64.5,74.9,75.9
BANTEN              ,96.3,96,98.8,87.4,86.7,90.6,56.9,64.2,66.9
BENGKULU            ,93.3,95.2,98.2,85.1,87.7,89.9,61.5,62.7,62.5
DI YOGYAKARTA       ,94.9,96.4,98.5,92.3,92.4,94.9,84.5,88,90.1
DKI JAKARTA         ,96,97.8,99.3,93,94.6,95,84.3,85.7,85
GORONTALO           ,89,91.9,93.4,80.6,80.1,81.2,50.9,55.4,53.7
JAMBI               ,97,95.3,98.5,84.4,86.3,89,56.9,63.7,64.5
JAWA BARAT          ,97.9,97.8,98.5,85.5,88.2,88.2,57.5,63.6,64.9
JAWA TENGAH         ,96.6,97.2,98.1,85.5,89,88.4,49.8,55.8,59.9
JAWA TIMUR          ,96.3,96.8,97.8,86.2,90,90.3,57.7,63.5,66.3
KALIMANTAN BARAT    ,88.2,91.8,94.3,72.8,80.9,79.7,49.3,55.2,54.3
KALIMANTAN SELATAN  ,91.8,94.1,95.7,82.8,82.5,84.1,59.5,63,63.6
KALIMANTAN TENGAH   ,94.7,95.5,97.5,81,84.8,89.8,50,60.8,61
KALIMANTAN TIMUR    ,96.1,95.8,96.8,87,92.4,95.3,64.7,71.6,74.3
KALIMANTAN UTARA    ,93.2,96.4,95.8,83.8,87.1,90.1,61.1,67.8,62.3
KEP. BANGKA BELITUNG,92.8,96,96.6,78,81.9,81,53.8,56.7,64
KEP. RIAU           ,95.7,95.2,98.2,91.6,94.8,92.7,78.1,78.7,81.1
LAMPUNG             ,96,97.7,98.3,84.1,86.7,89.5,54.9,57.6,60.1
MALUKU              ,95,97.5,98.5,88.4,88,93.1,67.8,70.5,68.1
MALUKU UTARA        ,94.7,95.6,97,85.1,87.4,92.9,59.1,66.5,67
NUSA TENGGARA BARAT ,96.6,97.3,98.7,88.6,89.9,92.2,57.6,64.7,65.7
NUSA TENGGARA TIMUR ,87.4,86.9,91.8,74.3,78.8,78.8,43.9,50.6,44.9
PAPUA               ,73.1,78.4,78.4,59.3,65.8,66.1,27.4,30.9,33
PAPUA BARAT         ,88.5,89.2,91.8,80.9,83.5,85.2,51,61.5,59.1
RIAU                ,95.1,95.2,96.9,85,86.8,87.1,58.8,66.6,68.9
SULAWESI BARAT      ,91.5,94.7,95.9,77.7,83.1,86.1,48.2,56.6,56.2
SULAWESI SELATAN    ,95.2,96.1,97.3,83.7,85.1,88.2,61,66.2,69.4
SULAWESI TENGAH     ,93.6,95,96.2,82.2,82.8,85.4,52,57.7,61.2
SULAWESI TENGGARA   ,94.5,95.3,95.6,85.5,89.2,90.9,64.3,68.3,70.7
SULAWESI UTARA      ,96,95.6,96.1,85.7,86.7,91,67.6,73.8,68.6
SUMATERA BARAT      ,91.2,93.3,95.3,84.1,87.1,89.5,60.3,67.1,70.1
SUMATERA SELATAN    ,96.1,95.9,97.8,83.4,85,87.7,58.2,65.4,67.2
SUMATERA UTARA      ,97.1,96.5,98.6,88.3,91.6,91.3,65.2,70.4,72.8
