Provinsi,2018,2019,2020,2021,2022
ACEH          ,2700000,2916810,3165031,3165031,3166460
BALI          ,2127157,2297969,2494000,2494000,2516971
BANTEN        ,2099385,2267990,2460997,2460996,2501203
BENGKULU      ,1888741,2040407,2213604,2215000,2238094
DI YOGYAKARTA ,1454154,1570923,1704608,1765000,1840487
DKI JAKARTA   ,3648036,3940973,4276350,4416186,4641854
GORONTALO     ,2206813,2384020,2788826,2788826,2800580
JAMBI         ,2243719,2423889,2630162,2630162,2698940
JAWA BARAT    ,1544361,1668373,1810351,1810351,1841487
JAWA TENGAH   ,1486065,1605396,1742015,1798979,1812935
JAWA TIMUR    ,1508895,1630059,1768777,1868777,1891567
KALIMANTAN BAR,2046900,2211500,2399699,2399698,2434328
KALIMANTAN SEL,2454671,2651782,2877449,2877448,2906473
KALIMANTAN TEN,2421305,2663435,2903145,2903144,2922516
KALIMANTAN TIM,2543332,2747561,2981379,2981378,3014497
KALIMANTAN UTA,2559903,2765463,3000804,3000804,3016738
KEP. BANGKA BE,2755444,2976706,3230024,3230023,3264884
KEP. RIAU     ,2563875,2769754,3005460,3005460,3050172
LAMPUNG       ,2074673,2241270,2432002,2432001,2440486
MALUKU        ,2222220,2400664,2604961,2604961,2619312
MALUKU UTARA  ,2320803,2508091,2721530,2721530,2862231
NUSA TENGGARA ,1825000,2012610,2183883,2183883,2207212
NUSA TENGGARA ,1660000,1795000,1950000,1950000,1975000
PAPUA         ,3000000,3240900,3516700,3516700,3561932
PAPUA BARAT   ,2667000,2934500,3134600,3134600,3200000
RIAU          ,2464154,2662026,2888564,2888564,2938564
SULAWESI BARAT,2193530,2381000,2678863,2678863,2678863
SULAWESI SELAT,2647767,2860382,3103800,3165876,3165876
SULAWESI TENGA,1965232,2123040,2303711,2303711,2390739
SULAWESI TENGG,2177052,2351870,2552015,2552014,2576016
SULAWESI UTARA,2824286,3051076,3310723,3310723,3310723
SUMATERA BARAT,2119067,2289220,2484041,2484041,3512539
SUMATERA SELAT,2595995,2804453,3043111,3043111,3144466
SUMATERA UTARA,2132189,2303403,2499423,2499423,2522609
