provinsi,tidak_tamat_022021,sd_022021,smp_022021,sma_022021,tidak_tamat_082021,sd_082021,smp_082021,sma_082021,tidak_tamat_022022,sd_022022,smp_022022,sma_022022
Aceh                ,1061,7,1397,1,1500,5,1703,1,1111,2,1360,5,1525,3,1628,7,1240,9,1407,3,1706,8,1729,7
Bali                ,840,1485,6,1879,2,2111,6,748,9,1088,2,1178,3,1564,1,883,8,1048,1212,1,1667,1
Banten              ,1547,8,1841,1989,1,2989,3,1458,3,1729,9,2175,2,2750,8,1350,1,1716,3,2350,4,3203,6
Bengkulu            ,956,6,1318,4,1590,4,1744,984,2,1219,6,1363,4,1738,3,1141,2477,1,2193,7,2049,5
DI Yogyakarta       ,550,8,1060,7,1140,1,1438,7,632,788,3,1185,3,1383,7,803,8,819,1404,6,1699,5
DKI Jakarta         ,2559,3,2329,2,2614,2,2841,2071,2100,5,2308,7,2776,6,3076,8,2608,3,2937,6,4205,8
Gorontalo           ,1352,2,1281,3,1411,8,1421,4,1235,8,1341,1,1328,1461,1489,4,1501,3,1544,9,1760,9
Jambi               ,1670,3,1707,4,1925,2,2329,1,1352,7,1607,1782,1984,1746,6,1695,8,1976,6,2037,9
Jawa Barat          ,1108,4,1440,3,1858,1,2404,2,1189,1,1425,1,1611,9,1968,3,1378,1,1527,7,1827,6,2426,8
Jawa Tengah         ,901,1,1246,6,1319,1,1726,1,847,3,1090,6,1238,8,1485,9,955,3,1267,8,1412,8,1632,5
Jawa Timur          ,890,7,1363,8,1391,8,1933,2,964,4,1286,7,1375,1,1689,8,1065,9,1276,6,1388,5,1701,1
Kalimantan Barat    ,1091,9,1453,1,1563,7,1709,7,1052,9,1397,5,1595,6,1870,4,1152,6,1671,4,1616,3,2621,1
Kalimantan Selatan  ,1006,3,1356,3,1936,4,1742,1025,4,1372,5,1580,9,1691,8,1397,6,1651,9,1698,2,2100,2
Kalimantan Tengah   ,1048,6,1541,6,1799,9,2425,5,1324,2,1724,1994,2193,8,1675,8,2200,7,2588,8,2420,6
Kalimantan Timur    ,1227,4,2274,3,1675,4,2165,1580,8,1850,5,1963,6,2272,4,1635,8,2362,4,2165,9,2675,2
Kalimantan Utara    ,1362,1627,3,1822,3,1404,7,1781,1829,7,2139,2140,2,1989,8,2297,2,2835,2541,6
Kep. Bangka Belitung,1364,3,1619,1633,1,2056,4,1690,7,2080,1,2000,2197,1,1917,2,2210,9,2408,2,2160,4
Kep. Riau           ,1768,8,1774,2,2801,3,3135,6,1404,5,1522,2,2000,4,2500,3,1893,7,1992,4,2146,3,2802,1
Lampung             ,1019,1373,5,1250,9,1377,5,984,4,1265,7,1339,8,1442,6,1298,8,1295,7,1391,1817,3
Maluku              ,1197,9,1453,3,1549,1,1651,6,1202,1,1148,7,1237,9,1346,7,1235,4,1514,1,1434,4,1847,6
Maluku Utara        ,763,1413,2,1551,1721,3,1202,5,1288,9,1462,5,2064,2,1168,5,1365,9,1744,1,1778,1
Nusa Tenggara Barat ,908,3,1124,4,1408,8,1468,8,922,7,1151,4,1205,1,1212,4,1051,9,1278,6,1065,2,1642,4
Nusa Tenggara Timur ,696,8,841,4,846,1462,3,687,9,760,848,3,1229,9,910,6,966,2,1032,7,1308,2
Papua               ,1432,1,1995,2530,3076,3,1696,7,1938,2,2281,9,3037,8,1535,1918,8,2383,6,2959,6
Papua Barat         ,2609,2248,8,2199,8,2532,6,1478,4,1945,4,2648,9,2115,8,1727,2043,8,1832,2363,9
Riau                ,1097,1498,2,1443,6,1787,8,1444,7,1697,2,1833,4,2066,9,1610,8,2064,4,2128,8,2039,9
Sulawesi Barat      ,1002,2,966,1,1208,2,1682,3,950,5,1324,3,1230,1,1187,3,1092,2,1330,3,1299,8,1659
Sulawesi Selatan    ,1312,3,1363,4,1626,1,2197,5,1154,7,1522,6,1600,1914,5,1423,5,1736,1,1704,7,2003,3
Sulawesi Tengah     ,796,8,1378,7,1664,7,2030,9,955,1,1120,6,1728,8,1552,9,1232,5,1591,1510,3,1622,8
Sulawesi Tenggara   ,1270,7,1510,1410,1,1581,2,994,6,1172,1,1353,7,1487,4,1278,5,1629,5,1704,8,1883,9
Sulawesi Utara      ,1532,4,1780,1964,8,2187,6,1250,1,1522,5,1722,2070,5,1371,4,1720,3,1926,8,2223,1
Sumatera Barat      ,1013,2,1464,1,1587,9,1871,4,1045,5,1357,2,1443,7,1648,6,1081,2,1511,7,1643,2,1987,5
Sumatera Selatan    ,1085,9,1324,3,1407,9,1845,1100,8,1372,4,1404,9,1568,1,1371,6,1624,1715,6,2166,5
Sumatera Utara      ,971,6,1299,1,1505,1701,4,919,1,1289,6,1440,3,1699,6,1107,3,1577,6,1552,1782,1
