Provinsi,2018,2019,2020
ACEH,2700000.00,2916810.00,3165031.00
SUMATERA UTARA,2132189.00,2303403.00,2499423.00
SUMATERA BARAT,2119067.00,2289220.00,2484041.00
RIAU,2464154.00,2662026.00,2888564.00
JAMBI,2243719.00,2423889.00,2630162.00
SUMATERA SELATAN,2595995.00,2804453.00,3043111.00
BENGKULU,1888741.00,2040407.00,2213604.00
LAMPUNG,2074673.00,2241270.00,2432002.00
KEP. BANGKA BELITUNG,2755444.00,2976706.00,3230024.00
KEP. RIAU,2563875.00,2769754.00,3005460.00
DKI JAKARTA,3648036.00,3940973.00,4276350.00
JAWA BARAT,1544361.00,1668373.00,1810351.00
JAWA TENGAH,1486065.00,1605396.00,1742015.00
DI YOGYAKARTA,1454154.00,1570923.00,1704608.00
JAWA TIMUR,1508895.00,1630059.00,1768777.00
BANTEN,2099385.00,2267990.00,2460997.00
BALI,2127157.00,2297969.00,2494000.00
NUSA TENGGARA BARAT,1825000.00,2012610.00,2183883.00
NUSA TENGGARA TIMUR,1660000.00,1795000.00,1950000.00
KALIMANTAN BARAT,2046900.00,2211500.00,2399699.00
KALIMANTAN TENGAH,2421305.00,2663435.00,2903145.00
KALIMANTAN SELATAN,2454671.00,2651782.00,2877449.00
KALIMANTAN TIMUR,2543332.00,2747561.00,2981379.00
KALIMANTAN UTARA,2559903.00,2765463.00,3000804.00
SULAWESI UTARA,2824286.00,3051076.00,3310723.00
SULAWESI TENGAH,1965232.00,2123040.00,2303711.00
SULAWESI SELATAN,2647767.00,2860382.00,3103800.00
SULAWESI TENGGARA,2177052.00,2351870.00,2552015.00
GORONTALO,2206813.00,2384020.00,2788826.00
SULAWESI BARAT,2193530.00,2381000.00,2678863.00
MALUKU,2222220.00,2400664.00,2604961.00
MALUKU UTARA,2320803.00,2508091.00,2721530.00
PAPUA BARAT,2667000.00,2934500.00,3134600.00
PAPUA,3000000.00,3240900.00,3516700.00
