Aceh,3165031
Sumatera Utara,2499423
Sumatera Barat,2484041
Sumatera Selatan,3043111
Riau,2888564
Kep. Riau,3005460
Jambi,2630162
Kep. Bangka Belitung,3230023
Bengkulu,2215000
Lampung,2432001
DKI Jakarta,4416186
Jawa Barat,1810351
Jawa Tengah,1798979
Jawa Timur,1868777
DI Yogyakarta,1765000
Banten,2460996
Bali,2494000
Kalimantan Selatan,2877448
Kalimantan Timur,2981378
Kalimantan Barat,2399698
Kalimantan Tengah,2903144
Kalimantan Utara,3000804
Sulawesi Selatan,3165876
Sulawesi Utara,3310723
Sulawesi Tenggara,2552014
Sulawesi Tengah,2303711
Sulawesi Barat,2678863
Gorontalo,2788826
Nusa Tenggara Barat,2183883
Nusa Tenggara Timur,1950000
Maluku,2604961
Maluku Utara,2721530
Papua,3516700
Papua Barat,3134600
