provinsi,tidak_tamat_022021,sd_022021,smp_022021,sma_022021,tidak_tamat_082021,sd_082021,smp_082021,sma_082021
Aceh,"930,8","1243,5","1240,0","1320,7","1154,1","1249,0","1370,4","1383,8"
Sumatera Utara,"1482,0","1528,8","1432,6","1509,9","1278,9","1399,1","1556,7","1471,9"
Sumatera Barat,"1286,4","1324,0","1329,4","1510,9","1259,6","1364,9","1465,2","1547,1"
Riau,"1259,4","1391,4","1502,9","1636,5","1217,7","1538,7","1648,3","1733,3"
Jambi,"1363,4","1748,7","1612,9","1758,4","1310,3","1539,6","1626,6","1727,4"
Sumatera Selatan,"1345,0","1440,6","1527,1","1498,9","1163,0","1336,1","1454,0","1327,5"
Bengkulu,"942,5","1566,2","1561,8","1334,4","946,3","1369,5","1327,7","1377,5"
Lampung,"1270,9","1417,1","1547,5","1431,4","1122,6","1310,6","1426,3","1451,6"
Kep. Bangka Belitung,"1349,2","1426,5","1680,5","1599,4","1706,5","1816,4","1422,2","1708,6"
Kep. Riau,"1548,7","2068,9","2171,3","2899,9","1247,5","1789,5","2004,0","2335,1"
DKI Jakarta,"1024,5","1752,9","1758,6","2284,2","1537,0","1782,0","1904,2","1980,2"
Jawa Barat,"1141,7","1240,0","1504,9","1537,1","1146,9","1297,3","1475,6","1706,9"
Jawa Tengah,"971,8","1372,0","1511,4","1583,1","1095,5","1426,0","1566,9","1612,8"
DI Yogyakarta,"942,8","1153,0","1345,3","1052,5","1216,9","1338,9","1476,3","1396,1"
Jawa Timur,"1003,6","1322,1","1548,3","1416,8","951,6","1265,7","1408,9","1499,4"
Banten,"1078,9","1714,1","1584,3","1918,2","1232,9","1570,4","1602,7","1843,9"
Bali,"1095,4","1703,0","1733,2","1658,3","1339,7","1444,6","1500,1","1643,8"
Nusa Tenggara Barat,"763,3","972,8","1258,6","1195,7","853,8","1061,1","1138,4","1105,9"
Nusa Tenggara Timur,"696,6","621,2","875,5","942,7","779,1","797,5","901,0","820,3"
Kalimantan Barat,"1199,4","1289,1","1562,8","1533,2","1250,6","1612,6","1764,8","1643,7"
Kalimantan Tengah,"2138,2","2062,5","2110,4","1907,6","1566,6","1769,7","2005,1","1867,2"
Kalimantan Selatan,"953,7","1482,2","1887,1","1371,8","1215,8","1614,5","1524,3","1536,6"
Kalimantan Timur,"1857,3","2061,4","1546,6","2022,4","1674,2","2106,2","1889,2","2137,3"
Kalimantan Utara,"1213,4","1474,8","1006,2","1862,9","1000,3","1656,4","1575,3","1431,6"
Sulawesi Utara,"1438,1","1480,8","1818,4","1536,7","1599,9","1626,2","1847,7","1822,4"
Sulawesi Tengah,"1153,2","1167,8","1357,6","1293,5","960,7","1040,9","1324,0","1296,2"
Sulawesi Selatan,"1206,8","1541,0","1589,5","1466,1","1082,8","1289,3","1143,9","1386,9"
Sulawesi Tenggara,"1093,8","1384,2","1924,9","1820,6","1179,1","1308,2","1584,5","1449,3"
Gorontalo,"1059,9","1236,4","976,9","1198,9","1175,2","1248,5","1135,7","1101,6"
Sulawesi Barat,"656,0","1131,3","1338,0","1262,6","1093,4","1245,3","1005,6","1165,4"
Maluku,"452,5","1070,1","1033,4","1643,9","922,0","1274,6","1263,1","1370,1"
Maluku Utara,"793,3","1208,3","1550,3","1416,6","1382,1","1332,7","1679,5","1619,1"
Papua Barat,"1675,3","2259,4","1464,4","2324,6","2079,0","2007,4","2154,6","2145,0"
Papua,"2572,9","1038,1","2304,1","1645,6","1462,8","1923,9","3195,5","2450,6"
